prolific_ID,id,time,timeperiod,age,above35,gender,genderfemale,gendermale,genderother,ethnicity,ethnicityasian,ethnicityblack,ethnicityother,ethnicitywhite,ethnicityall,educationcategory,education,educationcollege,educationless,educationmore,educationall,income,incomecontribution,incomecontribution50,workingtimedaysweek,workingtimehoursday,workingtimetotal,workingfulltime,workingtimeminwk,commutingtime,sourcesnaturallight,sourcesviewsnature,sourcesartificiallights,sourcesnaturalmaterials,sourcesindoorplants,sourcesdecor,wbattention,wbcreativity,wbproductivity,wbmotivation,wbfear,wbstress,wbpain,wbconnectedness,wbsocial,wbsleep,wbactivity,wbhealthy,wbconservation,activitiescount,timenaturedaysweek,timenaturehoursday,timenaturetotalmin,timenatureabove120,timenatureabove240,timenaturepercentile,timenaturecategorical120to240,timenaturecategorical240ormore,timenaturecategoricallessthan120,backyardgardentimepercentage,backyardgardenminutes,backyardgardentimepercentile,backyardgardentimemajority,publictimepercentage,publictimeminutes,publictimemajority,adherance,selfreportedcreativity,stressunexpected,stresscontrol,stressnervous,stressconfident,stressyourway,stresscope,stressirritations,stressontop,stressangered,stressdifficulties,stressmean,stresssum,stresstotalhigh,stresstotallow,stresstotalmoderate,stresssumall,stresssummodhigh,acutestress,acutestress50,acutestressmajority,anxietyfearful1,anxietyanxious1,anxietyworriesoverwhelmed1,anxietyfocused1,anxietynervous1,anxietyuneasy1,anxietytense1,anxietyrawsum1,anxietyTscore,anxietyTscoreSE,anxietyinterpretation,anxietyslight,anxietymild,anxietymoderate,anxietysevere,anxietymean1,anxietymodsevere,anxietyhelp1,anxietymean,selfnature,activitiescycling,activitiesgardening,activitieswalkinghiking,activitiesrunning,activitiescamping,activitieshuntingfishing,activitiesgames,activitiesoutdoorworkout,activitiesoutdoorrelax,activitiesother,activitiesgreenspace,activitiesactive,activitiespassive,activitiesconsumptive,surroundings,surroundingsother,surroundingsrural,surroundingssuburban,surroundingsurban,surroundingsall,surroundingsnonrural,surroundingsruralvsurban,surroundingssuburbanvsrural,timenatureearlymorning,timenaturemidmorning,timenatureearlyafternoon,timenaturelateafternoon,timenatureearlyevening,timenaturenight,naturehomena,naturehomeother,naturehomeprivateyard,naturehomepatiodeck,naturehomesharedconcrete,naturehomesharedyard,naturehomeroofspace,naturehomeyardany,naturehomegreen,naturehomeall,piextraversion,piagreeableness,piconscientiousness,piemotional,piopenness,pownership,propertyownershipother,propertyownershipown,propertyownershiprent,propertyownershipcategory,propertydescription,propertydescriptionaptcondo,propertydescriptionattached,propertydescriptiondetachedmultifamily,propertydescriptiondetachedsinglefamily,propertydescriptionmobile,propertycategory,industry,industryagriculture,industryarts,industrybroadcasting,industryconstruction,industryeducation,industryfinance,industrygovernment,industryhealth,industryhotel,industryinformation,industrylegal,industrymanufacturing,industrymilitary,industryother,industryprocessing,industrypublishing,industryreal,industryreligious,industryretail,industryscientific,industrysoftware,industrytelecommunications,industrytransportation,industryutilities,industrywholesale,moved,movedno,movedyes,changejob,changejobno,changejobyes,sip,sipdontknow,sipno,sipyes,adherence,homelocation,worklocation
5ee1880a6df8691a7b0c36f0,1,1,pc,29,0,Female,1,0,0,Asian,1,0,0,0,2,More,7,0,0,1,3,6,5,0,5,7,35,1,2100,60,0,0,1,1,0,0,4,3,3,3,2,2,1,3,3,3,2,2,2,1,1,1,60,0,0,0.09976798144,0,0,1,20,12,0.4791666667,0,80,48,1,3,1,3,2,3,3,2,3,3,2,2,2,2.5,25,0,0,1,2,1,2,1,0,2,2,2,2,2,2,2,14,52.6,2.2,0,1,0,0,0,2,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Suburban,0,0,1,0,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1.5,3.5,4,5,5,Rent,0,0,1,2,Detached_single-family,0,0,0,1,0,1,Government,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Yes,0,0,1,3,92691,92677
5c2b4b959f18a9000179a141,2,1,pc,25,0,Male,0,1,0,Asian,1,0,0,0,2,Less,5,0,1,0,1,3,50,1,5,7,35,1,2100,45,3,4,2,3,1,2,4,3,3,2,1,3,1,2,4,3,3,2,3,2,1,1,60,0,0,0.09976798144,0,0,1,20,12,0.4791666667,0,80,48,1,3,4,3,2,3,3,2,1,2,1,2,1,2,20,0,0,1,2,1,2,1,0,3,2,4,2,3,2,3,19,58.8,2.2,1,0,1,0,0,2.714285714,0,1,1.5,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,Suburban,0,0,1,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.5,5,4,5,5,Rent,0,0,1,2,Apartment/condo,1,0,0,0,0,3,Retail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,Yes,0,0,1,3,93705,93704
5d818a4fc7221b001aee787c,3,1,pc,43,1,Male,0,1,0,White,0,0,0,1,1,Less,5,0,1,0,1,8,70,1,5,7,35,1,2100,2,3,2,1,0,0,0,3,4,4,4,1,1,1,4,4,3,3,4,3,3,3,2,360,1,1,0.6821345708,0,1,0,25,90,0.5416666667,0,75,270,1,3,4,0,0,0,0,1,0,0,1,0,0,0.2,2,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,7,36.3,5.4,0,1,0,0,0,1,0,1,0,4,0,0,1,1,1,0,0,0,0,0,1,1,1,0,Suburban,0,0,1,0,2,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,3,2,6,1.5,5.5,Own,0,1,0,1,Detached_single-family,0,0,0,1,0,1,Finance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,No,0,1,0,3,29710,29710
5f5d699b1b86c05bcf242f45,4,1,pc,32,0,Female,1,0,0,Black,0,1,0,0,3,More,8,0,0,1,3,11,40,0,5,9,45,1,2700,80,1,1,4,0,0,1,2,2,3,2,3,3,1,3,2,2,3,3,2,2,1,2,120,1,0,0.2320185615,1,0,0,5,6,0.2719907407,0,95,114,1,3,3,2,1,3,2,2,1,1,2,0,0,1.4,14,0,0,1,2,1,1,0,0,3,4,2,4,2,2,2,19,58.8,2.2,1,0,1,0,0,2.714285714,0,2,1.625,5,0,0,1,0,0,0,0,0,1,0,0,1,1,0,Suburban,0,0,1,0,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1.5,3,7,4,6.5,Rent,0,0,1,2,Apartment/condo,1,0,0,0,0,3,Scientific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,No,0,1,0,3,20850,21702
5fa1981e96f8c52d45a92145,5,1,pc,27,0,Male,0,1,0,Asian,1,0,0,0,2,College,6,1,0,0,2,7,70,1,4,9,36,1,2160,60,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,2,2,240,1,1,0.4686774942,0,1,0,20,48,0.4791666667,0,80,192,1,4,3,2,2,2,2,2,2,2,2,2,2,2,20,0,0,1,2,1,1,0,0,2,2,2,2,2,2,2,14,52.6,2.2,0,1,0,0,0,2,0,2,1,2,1,1,1,1,0,0,1,1,0,0,1,1,1,0,Suburban,0,0,1,0,2,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,4,4,5,4,4,Own,0,1,0,1,Detached_single-family,0,0,0,1,0,1,Health,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,No,0,1,0,4,7652,8855
5eb4a91af2291f30f6b73c9c,6,1,pc,32,0,Female,1,0,0,Asian,1,0,0,0,2,More,10,0,0,1,3,9,25,0,5,9,45,1,2700,30,1,1,1,1,1,1,2,2,2,2,3,3,2,2,2,3,2,3,2,2,2,2,240,1,1,0.4686774942,0,1,0,5,12,0.2719907407,0,95,228,1,4,3,1,1,1,3,3,1,3,3,1,1,1.8,18,0,0,1,2,1,1,0,0,1,3,3,1,3,3,3,17,56.3,2.2,1,0,1,0,0,2.428571429,0,3,1.5,5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Suburban,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,3,3,5,3,4,Own,0,1,0,1,Detached_single-family,0,0,0,1,0,1,Education,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,No,0,1,0,4,32311,32311
5f16f559325a640008bb9a07,7,1,pc,33,0,Male,0,1,0,White,0,0,0,1,1,Less,5,0,1,0,1,6,40,0,5,7,35,1,2100,20,1,2,3,3,2,2,3,2,3,2,2,2,1,2,3,3,2,3,3,3,2,3,360,1,1,0.6821345708,0,1,0,25,90,0.5416666667,0,75,270,1,4,4,1,1,2,1,1,1,1,1,1,1,1.1,11,0,1,0,1,0,1,0,0,1,3,1,1,3,3,3,15,53.8,2.2,0,1,0,0,0,2.142857143,0,3,1.25,7,0,0,1,1,0,0,0,0,1,0,0,1,1,0,Urban,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,5,2,3.5,5,2.5,6,Rent,0,0,1,2,Apartment/condo,1,0,0,0,0,3,Legal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Yes,0,0,1,4,90029,90029
5fb97228ff45687f38da7813,8,1,pc,34,0,Male,0,1,0,White,0,0,0,1,1,College,6,1,0,0,2,4,100,1,5,9,45,1,2700,40,0,0,1,0,0,0,4,3,4,3,1,1,1,4,4,2,4,3,3,2,1,2,120,1,0,0.2320185615,1,0,0,0,0,0.1041666667,0,100,120,1,3,2,0,0,0,1,1,0,1,1,0,0,0.4,4,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,7,36.3,5.4,0,1,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,1,1,0,Urban,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2.5,3.5,2,1,3.5,Rent,0,0,1,2,Apartment/condo,1,0,0,0,0,3,Information,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,No,0,1,0,3,30318,30311
5d76d2f7daf4bf00164d585b,9,1,pc,26,0,Female,1,0,0,White,0,0,0,1,1,More,7,0,0,1,3,6,100,1,5,9,45,1,2700,34,1,1,0,0,0,0,3,3,3,1,3,3,2,4,5,3,3,3,3,2,5,1,300,1,1,0.5777262181,0,1,0,0,0,0.1041666667,0,100,300,1,3,3,2,2,4,2,2,3,2,2,3,3,2.5,25,0,0,1,2,1,3,1,1,2,5,4,4,4,5,4,28,70.2,2.2,3,0,0,0,1,4,1,2,2.75,4,0,0,1,0,0,0,0,0,1,0,0,1,1,0,Urban,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,6,5,5,6,7,Own,0,1,0,1,Detached_single-family,0,0,0,1,0,1,"Arts,",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,No,0,1,0,3,33446,33483
5e63e24eaf3bd51660031dbe,10,1,pc,34,0,Male,0,1,0,White,0,0,0,1,1,Less,4,0,1,0,1,6,100,1,5,9,45,1,2700,30,1,1,2,1,1,0,5,3,5,5,1,3,1,5,5,3,3,3,3,5,4,4,960,1,1,0.9501160093,0,1,0,20,192,0.4791666667,0,80,768,1,4,4,1,1,3,1,2,1,1,1,1,1,1.3,13,0,1,0,1,0,1,0,0,3,3,3,3,3,3,3,21,61.3,2.2,2,0,0,1,0,3,1,3,2,7,0,0,1,0,0,1,1,1,1,0,1,1,1,1,Suburban,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,5,6,3,6.5,1.5,Rent,0,0,1,2,Detached_single-family,0,0,0,1,0,1,Health,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,No,0,1,0,4,76712,76712
