prolific_ID,time,tract,CountyCode,County,State,tractArea,tractArea_NQ,numParks,numParks_NQ,parkArea,parkArea_NQ,propPark,propPark_NQ,popultion,popultion_NQ,popDensity,popDensity_NQ,parkAreaPerPerson,parkAreaPerPerson_NQ
5e77116039c4412820356b26,2,06085512001,6085,Santa Clara,CA,19700000,3,7,4,1308560.8,4,0.06627608,4,7025,4,3.565989847715736e-4,2,186.27200000000002,4
5c3a865019ceb400010c914a,2,25017351204,25017,Middlesex,MA,579328.5,1,6,4,25033.69,2,0.04321156,4,4295,3,0.0074137557534283225,4,5.828565774155995,2
5ea894742b0def30e41aa60d,2,04013103302,4013,Maricopa,AZ,2499626,2,1,2,63142.855,3,0.02526093,3,6376,4,0.0025507815969269,4,9.90320812421581,3
5d6ef023cfe0a400198f911e,2,17043841501,17043,Du Page,IL,13900000,3,4,4,2082266.8,4,0.14943259,4,5927,4,4.2640287769784175e-4,2,351.3188459591699,4
5d29346269a747001acdb205,2,53033006400,53033,King,WA,903650.4,1,1,2,8105.3506,2,0.00896956,3,3420,2,0.003784649461783008,4,2.3699855555555556,2
5dcaf5db575da17c63ebb51b,2,12099004813,12099,Palm Beach,FL,3369333,2,0,1,0,1,0,1,6655,4,0.0019751683790233854,3,0,1
5ae7f99bd5ec5e000175f097,2,06077005308,6077,San Joaquin,CA,1398323,1,2,3,55335.287,3,0.03957261,4,4391,3,0.0031401900705344903,4,12.601978364837166,3
5ea0983e64603e06e32eb1f4,2,48029171916,48029,Bexar,TX,5563626,3,1,2,151117.75,3,0.02716174,3,10592,4,0.0019037943959568813,3,14.26715917673716,3
5a8f13595292b80001235e09,2,32003005834,32003,Clark,NV,10800000,3,0,1,0,1,0,1,3291,2,3.0472222222222223e-4,2,0,1
5f6d434b44cd121bbb5179dc,2,15003008415,15003,Honolulu,HI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5df66d09dc8535465a0b0bae,2,26163540400,26163,Wayne,MI,1277209,1,1,2,11485.3,2,0.0089925,3,2632,1,0.002060743386556155,3,4.3637158054711245,2
5b112baa9663ee000145eed2,2,19113000300,19113,Linn,IA,5004161,2,7,4,288834.08,4,0.05771879,4,5714,4,0.0011418497526358565,3,50.54849142457123,4
5d45c2d1da9cb60015aa4312,2,19061010101,19061,Dubuque,IA,8250523,3,1,2,422204.28,4,0.05117303,4,2500,1,3.0301109396337663e-4,2,168.88171200000002,4
5c2b4b959f18a9000179a141,2,06019003004,6019,Fresno,CA,1306270,1,1,2,19878.15,2,0.0152175,3,2509,1,0.0019207361418389767,3,7.92273814268633,3
5f2087ce96df3538e09a6680,2,36055011800,36055,Monroe,NY,4288387,2,4,4,136810.01,3,0.03190244,3,5345,4,0.001246389376705041,3,25.595885874649206,3
5ed2958cf3d85d0880db5011,2,06073007911,6073,San Diego,CA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5a7618b18fe2dc0001057243,2,08031003401,8031,Denver,CO,1128060,1,1,2,15842.528,2,0.01404405,3,2998,2,0.002657660053543251,4,5.284365577051368,2
5ea77b0161f86b151f475c8f,2,13059150500,13059,Clarke,GA,6043951,3,2,3,160220.81,3,0.02650928,3,5285,4,8.744280024771875e-4,2,30.316141911069064,3
5e683c4d6ca0f9000d3f35fe,2,32003005834,32003,Clark,NV,10800000,3,0,1,0,1,0,1,3291,2,3.0472222222222223e-4,2,0,1
5c57631a47a04100010da795,2,27053125600,27053,Hennepin,MN,2517353,2,9,4,171311.97,3,0.06805244,4,5233,4,0.002078770835874031,3,32.73685648767437,3
5dd42e7f35cf744223c60d1b,2,54039011401,54039,Kanawha,WV,35300000,3,0,1,0,1,0,1,2740,1,7.762039660056658e-5,1,0,1
5c663cd56fdc87000162e255,2,42125745102,42125,Washington,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5f44c445cfb0a801244f652f,2,17031804404,17031,Cook,IL,3100498,2,2,3,348479.8,4,0.11239479,4,5147,4,0.0016600559006972428,3,67.70542063337867,4
5cfdd7d53ca1bb00011030d4,2,39133601503,39133,Portage,OH,4014622,2,4,4,66129.339,3,0.01647212,3,4839,3,0.001205343865499666,3,13.665910105393678,3
5ea434a104834a3d5ab8b0b7,2,12103024002,12103,Pinellas,FL,3394956,2,2,3,35558.937,3,0.01047405,3,5224,4,0.001538753374123258,3,6.806840926493108,2
5f90849f0794511514004e6b,2,35049001202,35049,Santa Fe,NM,5575388,3,3,3,64397.637,3,0.01155034,3,5779,4,0.0010365197901921804,3,11.143387610313203,3
