Prolific_ID,D_Home_Location,D_Work_Location,2D_Home_Location,2D_Work_Location
5c671f12a26a8500014431e7,75228,75001,,
5ee1880a6df8691a7b0c36f0,92691,92677,92691,92677
5c2b4b959f18a9000179a141,93705,93704,93705,93705
5d818a4fc7221b001aee787c,29710,29710,29710,28277
5f5d699b1b86c05bcf242f45,20850,21702,20850,21702
5fa1981e96f8c52d45a92145,7652,8855,7652,8854
5eb4a91af2291f30f6b73c9c,32311,32311,32311,32311
5f16f559325a640008bb9a07,90029,90029,90029,90029
5fb97228ff45687f38da7813,30318,30311,30318,30318
5d76d2f7daf4bf00164d585b,33446,33483,33446,33446
5f96366ec0423b19726953f0,6776,6790,,
5e93f4e38099ec730377b072,95035,95035,,
5e63e24eaf3bd51660031dbe,76712,76712,76712,76712
5f9b5a4e6a200236cbdcb1bb,17601,17551,17601,17551
5f136b2be9d1e835fdb8595c,33301,33308,33301,33316
5f8120ed0c4ed61e386b4302,20814,20016,20814,20016
5fa8dc4314d7987b8c2f3df2,91732,91602,,
5ec76194079cdc1b61767c3b,91311,91311,91311,91311
5f36f5c5a9ef8615f1333ab1,60007,60007,60007,60007
5dcaf5db575da17c63ebb51b,33460,33461,33461,33461
5ef6d07be683903cd5ae171d,43219,43230,43219,43230
5f5d967f60d7fa5fdca4cc4f,11229,10018,10509,10010
5d6b596f76cca6000166d81d,91701,90640,,
5ef699fc5e0cdf000c6be4e0,97212,97204,97212,97205
5c50c73cecd461000198fea1,7728,7036,7728,8901
5f4c5105ad5ee685d48bcca2,60070,60090,60070,60090
5ca17355f1e809001169e3c8,30040,30339,30040,30339
5d6ef023cfe0a400198f911e,60185,60614,60185,60614
5f7235413bb820142cfc2a85,30062,30332,,
5f44c445cfb0a801244f652f,60175,60175,60175,60175
5fadec41796fc522846012f9,15642,15222,15222,15222
5d45c2d1da9cb60015aa4312,52003,52001,52003,52003
5d10eaf23afd390019075267,45219,45219,45219,45219
5df9846d76f45070feedf075,85331,85258,85331,85258
5f1e9b5ffe1f70029559f24c,75707,75799,,
5f0c88ea711ed50e642bd561,40507,40512,,
5cfdd7d53ca1bb00011030d4,44240,44224,44240,44221
5f2a856a87f6262b2f345c92,20613,20001,20904,20001
5f3bc0449621ea91bbe1f3a3,52748,61201,52748,61201
5d5c25578af5fd0001ef3aee,29483,29483,29483,29483
5a9c44d2f05361000172055b,60614,60614,60614,60614
5e71a80784155f0c75a56c70,55455,55455,55455,55101
5ef6a216cf5fa438db69c355,53081,53083,,
5d012930cfeb82001817c9c9,94303,94043,94303,94043
5f0c61f219803a07239a4269,91801,91731,91801,92821
5f524e7407f3574c7f05fa45,2474,2134,2474,2134
5e975c32ca82b62079dc8f7c,80109,80015,80109,80109
5b2465d4007d870001c7926a,99223,99201,99223,99201
5e876872ca754f08ceb52e9e,55811,55720,55811,55720
583b397f54686200010f1d20,27407,28212,27403,27403
5dc797a6a4cc4255f8ea588e,95818,95818,95818,95818
5d50567697082b0018f7f481,14624,14534,14624,14534
5ed559e5afbd830e2117ed55,60008,60173,60008,60173
5d20189bb34728001a230962,77090,77090,77090,77090
5a348ea750833c0001ee9550,2359,2119,2359,2364
5f4b00659e84256d54dc2fa7,28213,28117,28213,28117
5c756f32c3c75a0001334269,54313,54313,54313,54313
5e373f33a42bce6daa55ea65,84047,84047,84047,84047
5d278cc85e946f001b305b46,77038,77038,77038,77008
5ec446f8ec26b7323a065827,30041,30022,30041,30041
5bf6fc936c445d0001aeba98,95628,95624,95628,95624
5f17821d53d8590009cfc951,35603,35898,35603,35808
5ef659991d975d12c6e7c555,14063,14201,60612,60612
5e29d24605043a02e9043472,34787,32751,34787,34787
5faef74f65e3370f9cbc7620,98003,98424,98003,98003
5f33f5c671dbfc2622aecda4,92130,92103,92130,92103
5f4af15a0add63150e16e55a,2119,2141,2119,2141
5a2fd74c3eff6600016f21ee,7095,10001,7095,10001
5e75568b2d882b0c53e62547,98059,98006,,
55d35a55da14d7000595331e,93711,93703,93711,93703
5f5053004eaeb51d946fe1ff,44124,44122,,
5f2762fd4875420d9c0c0fa2,44116,44072,44116,44116
5ca5435273897b0001de44ff,94538,94025,94538,94538
57d6dd8d6598aa000199188b,95124,95814,95124,95124
5de966f5d2601a09dd32169e,52722,52803,52803,52807
5ea70b0537c5170b90ece8ac,84663,84604,84663,84602
5f5b0f1be585c32184a4cf35,60707,60107,60707,60707
5e85efd69c5a6f1ec0d97903,60201,60201,60601,60201
5e8aa39f3dabf475987ddaf3,84062,84062,84062,84062
5f420cd40061580008f221a9,36025,36109,36025,36109
5f4c043843154b0efb8a1a25,27712,27712,27712,27712
5baa535fa3c9170001156197,7748,7748,7748,7748
597fe89a1b41a20001749f57,46614,46628,46614,46628
5f888877136ad50208b48b47,91790,91006,,
5ba78b71d60daf0001532d5b,43230,43219,43230,43219
5fa00df9f09b1d00088801ee,19144,19130,19144,19130
5c5dba4ed86a7f000191e5d5,93110,93030,93110,93110
5fb69cacddba6408f81a9564,7087,11222,7087,11222
5fba825421064da598d29afc,55804,55804,55804,55804
5953d01e4d560700016462da,53555,53555,53555,53555
